text,tense
"Todd Kaufman, a 19 - year - old U.S. Marine and Peace Corps volunteer, was an aide to the pair, according to a statement released by the Marine Corps Local Organizer.",past
"Under the pretext of displacement, Gelafin chose to remain in her home in the West Bank, according to the report.",past
"The other half saw the PCs cursing and cursing in distress, and the half saw the PCs cursing.",past
The wide receiver and star receiver have combined to make the most of a collegiate team in college football.,past
"Due to his war wounds, Chamberlain was unable to see his wounds.",past
We were unable to achieve that.,past
"When a measles vaccine was purchased at the shop, terrified employees recalled buying the animal's name and address, "" the employee wrote. """,past
"As The Times, in a 2002 study for the Los Angeles Times, found that between 1985 and 1987, violence by both groups had an associated positive impact on community health.",past
"The cache was kept at the plant for eight days, until it was eventually found by the U.S. Marshals, and American Immigration Law Enforcement.",past
"For an entire generation of Israeli society, the West was the only place that offered Palestinians the choice of a future.",past
But a spokesman for London Mayor Sajid Buttafis said the police were responsible.,past
Never was there any doubt that there were going to be some kind of amnesty for everybody.,past
We were too absorbed in the rumour of the matches to ever even think about it.,past
"Not that I forgot my momma, the small black box with buttons and his box.",past
"Consumers had their suspicions of the entire independent, some of which were based on data from Netflix, NBC, and ABC ’s lineup.",past
"It was a radical shift that made the American literary system postwar, ” said one historian, “ from its early beginnings in the 1970s to its more modern forms in the 21st century.",past
"With numerous disasters beginning to set in throughout the Caribbean, the Dutch government intervened to get China out of its grip.",past
Their achievement gap was greater than half a million in 1990.,past
It certainly felt good to see such a drastic shift occurring on many campuses.,past
"But yet, on this date, the twins had raised $ 100 million.",past
"Genesee County Health officials said earlier this month that some 3,600 people died after an outbreak of Legionnaires ’ disease caused the dogs to hoof and run agun on the Children �",past
"In the seconds after winning the Regional Championships in Germany, six wins from Frans Petterst and Trembar were enough to guarantee their place at the top of the group stage.",past
"Education and poverty rates among low - income black children rose 1.2 percent to $ 8.4 billion, far eclipsing everything that Obama ’s ambitious goal of reducing poverty in 2015.",past
The system then changed to a level one system where certain player counts fluctuated over the course of each workout.,past
* John was once a lively advocate of getting people to re - wear clothes and style and was the guy to go down to wearing them.,past
"I had been moping around, and I worked really hard on that.",past
But government officials still say the military underestimated the scope of regional conflicts.,past
"The D - Class submarines were scheduled to take part in the 2018 defenseotiation of the Alaska Purchase to fund the military program, and had been repeatedly denied by U.S. officials because of concerns over",past
"Adding to their arsenal, it was evident they were still willing to kill Obama.",past
"I got hired as Chief Executive Officer at Kingsway, Redmond and Lincoln City for Halverson, coaching his son, Scott, on a wet, snowy day.",past
Elleik and Pedowitz at ESPN have also been touted as best - known personalities in sports and karaoke.,past
"“ They ’re welcoming guys, ” said Spitz.",past
"No word yet on whether he was still at work, but WWE ’s Vince McMahon did n’t seem to be slowing down.",past
"Street Fighter II was released on March 22, 1992, for Nintendo.",past
Beating was my favorite strategy.,past
"Verged on the back for a perfect fight against Yokozuna, Vergara appeared to win this match.",past
"Today, Skolnick said that all three are striving to reach "" a healthy age. """,past
"There are many reasons why we find that Kings fans are becoming more aggressive in the playoffs, however, and more specifically, in the playoffs.",past
And he got great crowds.,past
